16:19:40 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -31 | Distance: 0.57796928841533114
16:19:41 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -33 | Distance: 0.64494667710376241
16:19:42 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -29 | Distance: 0.51794746792312121
16:19:43 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -30 | Distance: 0.54713593326708941
16:19:44 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -35 | Distance: 0.71968567300115211
16:19:45 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:19:46 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -27 | Distance: 0.46415888336127791
16:19:47 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -31 | Distance: 0.57796928841533141
16:19:48 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -30 | Distance: 0.54713593326708941
16:19:49 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -30 | Distance: 0.54713593326708941
16:19:50 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:19:51 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -32 | Distance: 0.61054022965853281
16:19:52 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -26 | Distance: 0.43939705607607911
16:19:53 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -27 | Distance: 0.46415888336127791
16:19:54 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -30 | Distance: 0.54713593326708941
16:19:55 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:19:56 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -24 | Distance: 0.39376589235643861
16:19:57 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -27 | Distance: 0.46415888336127791
16:19:58 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -23 | Distance: 0.37275937203149406
16:19:59 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -23 | Distance: 0.37275937203149401
16:20:00 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -29 | Distance: 0.51794746792312121
16:20:01 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:02 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -23 | Distance: 0.37275937203149401
16:20:03 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:20:04 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -24 | Distance: 0.39376589235643866
16:20:05 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -23 | Distance: 0.37275937203149401
16:20:06 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -29 | Distance: 0.51794746792312121
16:20:07 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -24 | Distance: 0.39376589235643861
16:20:08 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -23 | Distance: 0.37275937203149406
16:20:09 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -29 | Distance: 0.51794746792312121
16:20:10 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:11 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:20:12 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -31 | Distance: 0.57796928841533141
16:20:13 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:14 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:15 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:20:16 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -31 | Distance: 0.57796928841533141
16:20:17 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:18 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:20:20 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718471
16:20:21 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -27 | Distance: 0.46415888336127791
16:20:22 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -32 | Distance: 0.61054022965853281
16:20:23 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -26 | Distance: 0.43939705607607911
16:20:24 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -29 | Distance: 0.51794746792312121
16:20:25 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -32 | Distance: 0.61054022965853281
16:20:27 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -28 | Distance: 0.49031614123032621
16:20:28 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -31 | Distance: 0.57796928841533144
16:20:30 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -27 | Distance: 0.46415888336127795
16:20:31 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -32 | Distance: 0.61054022965853286
16:20:32 DEBUG   MAC: 0C:43:14:F4:61:DA | RSSI: -25 | Distance: 0.41595621630718477
